# XviD 2pass stat file (core version 1.4.-127)
# Please do not modify this file

i 2 920 0 0 32135 3822
p 2 0 889 31 17273 1409
p 2 0 874 46 15539 1342
p 2 0 873 47 15112 1346
p 2 0 884 36 18201 1399
p 2 0 891 29 15150 1390
p 2 0 897 23 15056 1370
p 2 0 877 43 15120 1368
p 2 0 895 25 14166 1378
p 2 0 879 41 16745 1390
p 2 0 895 25 14826 1384
p 2 0 874 46 14374 1354
p 2 0 890 30 14941 1357
p 2 0 887 33 13318 1331
p 2 0 897 23 17262 1410
p 2 0 881 39 13764 1341
p 2 0 879 41 13603 1319
p 2 0 870 50 14602 1319
p 2 0 880 40 12598 1308
p 2 0 877 43 15866 1340
p 2 0 886 34 13690 1362
p 2 0 886 34 12732 1339
p 2 0 894 26 14184 1355
p 2 0 860 60 11822 1288
p 2 0 883 37 15571 1322
p 2 0 892 28 12050 1312
p 2 0 872 48 12331 1275
p 2 0 864 56 12768 1288
p 2 0 880 40 12123 1279
p 2 0 864 56 14821 1305
p 2 0 869 51 13172 1329
p 2 0 869 51 12686 1342
p 2 0 890 30 12469 1358
p 2 0 865 55 11976 1368
p 2 0 873 47 13105 1340
p 2 1 861 58 12039 1336
p 2 0 900 20 11996 1384
p 2 0 878 42 11492 1356
p 2 0 892 28 10734 1358
p 2 0 865 55 12247 1315
p 2 0 882 38 10243 1324
p 2 0 881 39 10675 1331
p 2 0 892 28 10741 1325
p 2 1 869 50 9927 1370
p 2 0 895 25 11052 1343
p 2 0 877 43 9933 1336
p 2 26 856 38 10645 1468
p 2 1 887 32 10832 1447
p 2 73 816 31 13274 1859
p 2 8 901 11 12626 1707
p 2 163 735 22 13292 2095
p 2 131 742 47 13701 2038
p 2 37 858 25 13230 1821
p 2 144 749 27 14788 2067
p 2 11 881 28 12804 1642
p 2 171 729 20 15669 2197
p 2 123 771 26 14753 2014
p 2 29 859 32 12248 1755
p 2 132 757 31 14856 2027
p 2 1 891 28 10761 1520
p 2 141 761 18 16545 2077
p 2 108 789 23 14770 1964
p 2 22 853 45 12059 1619
p 2 114 774 32 14944 1970
p 2 0 896 24 11124 1486
p 2 120 791 9 15575 2040
p 2 106 796 18 15942 1923
p 2 94 822 4 14919 1985
p 2 128 765 27 16255 2069
p 2 2 901 17 11774 1584
p 2 123 781 16 17748 2101
p 2 99 814 7 15161 1973
p 2 98 819 3 15012 2000
p 2 112 808 0 16688 2090
p 2 5 910 5 12377 1559
p 2 196 724 0 31159 2874
p 2 0 910 10 13764 1486
p 2 40 878 2 25802 1966
p 2 17 894 9 26203 1904
p 2 0 904 16 11995 1413
p 2 1 897 22 20118 1649
p 2 0 903 17 11565 1344
p 2 0 874 46 9917 1259
p 2 6 905 9 16122 1514
p 2 0 885 35 15930 1386
p 2 0 887 33 10739 1276
p 2 0 851 69 10831 1238
p 2 0 886 34 15689 1406
p 2 0 897 23 16092 1395
p 2 0 896 24 10124 1261
p 2 0 868 52 11735 1241
p 2 0 883 37 17717 1452
p 2 0 874 46 10084 1236
p 2 0 865 55 10444 1229
p 2 0 873 47 13240 1258
p 2 0 902 18 17338 1520
p 2 0 893 27 11907 1303
p 2 1 913 6 12822 1476
i 2 920 0 0 26995 3898
p 2 523 397 0 22537 3224
i 2 920 0 0 24596 3613
i 2 920 0 0 20628 3449
p 2 675 245 0 17726 3655
p 2 713 207 0 14514 3691
p 2 125 795 0 10519 2628
p 2 580 340 0 11002 3500
p 2 266 654 0 8794 2986
p 2 50 870 0 8003 2398
p 2 47 873 0 7172 2389
p 2 0 918 2 5032 2215
p 2 10 910 0 6068 2263
p 2 0 920 0 5994 2264
i 2 920 0 0 32827 4079
i 2 920 0 0 44016 4550
p 2 56 864 0 39571 2092
p 2 51 869 0 29487 2081
p 2 40 880 0 24180 1882
p 2 34 886 0 37766 2207
p 2 9 911 0 18260 1680
p 2 9 910 1 34820 1983
p 2 12 907 1 22158 1747
p 2 4 914 2 25180 1873
p 2 16 904 0 34676 2056
p 2 11 909 0 17881 1773
p 2 7 912 1 31887 1847
p 2 16 904 0 22987 1837
p 2 3 917 0 22854 1808
p 2 14 906 0 31641 1984
p 2 10 910 0 21230 1784
p 2 7 908 5 29249 1757
p 2 20 899 1 23298 1844
p 2 7 913 0 20839 1717
p 2 16 903 1 28024 1956
p 2 4 916 0 20909 1797
p 2 3 915 2 25510 1747
p 2 15 904 1 22444 1843
p 2 4 914 2 21556 1807
p 2 8 912 0 24966 1850
p 2 5 914 1 20459 1749
p 2 3 915 2 21216 1656
p 2 11 906 3 22051 1834
p 2 5 912 3 20853 1747
p 2 10 909 1 23554 1870
p 2 3 917 0 19176 1726
p 2 3 914 3 18204 1579
p 2 5 911 4 20706 1769
p 2 4 916 0 22485 1769
p 2 3 917 0 21166 1720
p 2 7 913 0 19714 1778
p 2 10 896 14 15669 1461
p 2 17 903 0 20664 1787
p 2 5 915 0 21742 1827
p 2 7 913 0 17372 1684
p 2 5 915 0 16904 1652
p 2 2 875 43 11156 1284
p 2 13 906 1 18159 1819
p 2 6 914 0 18772 1785
i 2 920 0 0 11942 3086
p 2 0 919 1 7465 1671
p 2 0 899 21 3805 1337
p 2 0 905 15 7122 1417
p 2 0 897 23 4449 1335
p 2 6 905 9 6658 1462
p 2 0 897 23 4800 1357
p 2 0 889 31 3807 1273
p 2 2 900 18 6298 1446
p 2 0 885 35 3355 1276
p 2 1 919 0 9099 1673
p 2 0 908 12 5353 1496
p 2 0 920 0 6121 1615
p 2 3 907 10 8536 1705
p 2 0 914 6 4515 1543
p 2 19 881 20 7203 1687
p 2 10 909 1 5599 1588
p 2 1 895 24 4598 1438
p 2 20 888 12 8246 1629
p 2 5 883 32 5036 1370
p 2 28 888 4 8906 1770
p 2 19 891 10 5561 1499
p 2 0 918 2 4792 1394
p 2 29 871 20 10142 1723
p 2 23 891 6 7356 1529
p 2 27 881 12 12679 1759
p 2 24 895 1 9325 1563
p 2 0 904 16 6711 1354
p 2 27 893 0 16229 1875
p 2 16 898 6 9241 1536
p 2 18 899 3 16878 1819
p 2 0 905 15 7815 1424
p 2 0 901 19 7877 1353
p 2 5 903 12 15566 1760
p 2 0 899 21 6179 1335
p 2 7 901 12 14357 1644
p 2 0 899 21 7833 1345
p 2 0 895 25 7103 1315
p 2 5 909 6 15769 1726
p 2 0 895 25 7599 1380
p 2 6 910 4 16686 1820
p 2 0 896 24 5508 1346
p 2 0 920 0 7481 1428
p 2 4 910 6 16405 1793
p 2 0 906 14 5383 1359
p 2 6 905 9 15369 1690
p 2 0 898 22 7882 1349
p 2 0 899 21 7611 1308
p 2 6 905 9 15199 1685
p 2 0 907 13 7827 1363
p 2 7 877 36 14645 1630
p 2 0 909 11 5625 1356
p 2 0 879 41 6745 1271
p 2 6 904 10 15521 1725
p 2 0 899 21 6496 1318
p 2 6 893 21 14907 1624
p 2 0 891 29 6380 1321
p 2 0 898 22 7334 1301
p 2 7 897 16 15125 1695
p 2 0 903 17 8666 1414
i 2 920 0 0 32960 3854
p 2 30 888 2 16376 1825
p 2 1 909 10 11290 1433
p 2 332 588 0 35898 3375
p 2 57 859 4 14255 1943
p 2 361 559 0 40620 3588
p 2 31 886 3 14728 1827
p 2 2 895 23 10110 1434
p 2 139 781 0 39132 2878
p 2 52 866 2 17527 1931
p 2 242 677 1 36220 3197
p 2 120 798 2 18403 2272
p 2 10 901 9 10014 1510
p 2 304 616 0 38511 3350
p 2 27 882 11 14620 1785
p 2 136 782 2 34496 2829
p 2 56 863 1 15234 1935
p 2 1 907 12 11176 1525
p 2 282 637 1 35271 3325
p 2 69 848 3 15139 1992
p 2 258 662 0 41464 3387
p 2 67 851 2 17450 2121
p 2 2 900 18 11586 1530
p 2 89 831 0 38789 2762
p 2 13 906 1 16853 1909
p 2 237 681 2 37304 3188
p 2 58 859 3 15293 2116
p 2 13 893 14 9601 1550
p 2 329 590 1 38148 3409
p 2 28 882 10 14879 1849
p 2 109 807 4 33271 2668
p 2 82 832 6 17946 2112
p 2 0 909 11 10391 1435
p 2 194 725 1 35887 3148
p 2 73 842 5 16028 2123
p 2 319 600 1 41711 3585
p 2 72 845 3 15372 2013
p 2 4 875 41 8828 1381
p 2 141 776 3 38830 2925
p 2 16 898 6 14087 1737
p 2 250 665 5 36966 3242
p 2 30 882 8 14920 2095
p 2 10 883 27 8416 1476
i 2 920 0 0 31382 3915
p 2 48 859 13 14154 1799
p 2 184 730 6 32953 2839
p 2 36 874 10 14249 1856
p 2 0 873 47 7760 1370
p 2 303 617 0 35842 3414
p 2 41 873 6 14987 1970
p 2 331 589 0 41278 3573
p 2 51 863 6 15953 1993
p 2 4 887 29 10329 1510
p 2 180 739 1 37979 2962
p 2 32 884 4 14769 1802
p 2 241 677 2 36691 3278
p 2 31 887 2 14368 2062
p 2 11 897 12 10167 1471
p 2 357 563 0 36555 3490
p 2 31 884 5 13905 1823
i 2 920 0 0 33764 4003
p 2 27 892 1 25325 2284
p 2 0 916 4 12708 1577
p 2 486 434 0 36795 3775
p 2 92 828 0 25437 2684
p 2 448 471 1 39943 3754
p 2 311 609 0 37410 3474
p 2 7 823 90 8536 1396
p 2 226 694 0 37353 3296
p 2 276 644 0 45582 3525
p 2 326 594 0 49467 3741
p 2 167 753 0 41269 3247
p 2 0 876 44 10431 1423
p 2 177 743 0 42575 3190
p 2 134 786 0 44570 2995
p 2 90 830 0 32811 2631
p 2 116 804 0 39094 2778
p 2 0 825 95 7026 1342
p 2 118 801 1 33247 2725
p 2 4 916 0 19660 1961
p 2 118 802 0 32424 2548
p 2 6 914 0 17782 1797
p 2 18 900 2 13041 1629
i 2 920 0 0 19435 3475
p 2 20 893 7 15187 1999
p 2 181 720 19 22152 2781
p 2 252 667 1 27069 3307
p 2 1 917 2 9772 1696
p 2 192 727 1 27681 3227
p 2 248 665 7 31911 3396
p 2 206 710 4 35605 3398
p 2 178 739 3 37246 3325
p 2 0 813 107 7162 1266
p 2 317 603 0 41365 3760
p 2 94 825 1 30051 2774
p 2 123 797 0 25957 2717
p 2 40 880 0 26208 2319
p 2 0 822 98 6854 1250
p 2 115 805 0 23927 2535
p 2 103 816 1 23947 2407
p 2 39 879 2 18747 1984
p 2 77 843 0 23435 2373
p 2 0 887 33 8268 1423
p 2 31 889 0 21668 2040
p 2 94 824 2 21390 2286
i 2 920 0 0 26565 3940
p 2 35 883 2 14448 2219
p 2 14 852 54 5429 1310
p 2 405 510 5 26786 3545
p 2 101 772 47 10939 2144
p 2 420 500 0 29080 3681
p 2 79 820 21 11535 2203
p 2 4 906 10 10197 1737
p 2 509 411 0 23975 3632
p 2 5 886 29 9080 1772
i 2 920 0 0 29200 4085
p 2 15 836 69 8888 1615
p 2 10 842 68 6697 1295
i 2 920 0 0 33144 4221
p 2 92 762 66 12323 2167
p 2 468 451 1 42171 3983
p 2 162 732 26 18767 2713
p 2 2 868 50 7102 1386
p 2 269 651 0 41308 3614
p 2 37 864 19 15825 2242
p 2 386 534 0 37115 3999
p 2 29 886 5 14641 2157
p 2 6 880 34 8123 1427
p 2 291 629 0 47461 3781
p 2 74 815 31 15858 2144
p 2 489 431 0 50235 4200
p 2 54 855 11 18176 2243
p 2 0 888 32 10717 1343
p 2 418 502 0 46478 3972
p 2 182 734 4 21877 2903
p 2 236 681 3 32231 3401
p 2 192 726 2 18319 2837
p 2 7 906 7 10301 1813
p 2 517 403 0 39968 4098
p 2 34 878 8 17537 2317
p 2 393 527 0 43082 3917
p 2 97 812 11 18514 2459
p 2 1 870 49 7070 1475
i 2 920 0 0 38198 4229
p 2 5 903 12 10858 1636
p 2 254 663 3 35793 3412
p 2 89 824 7 13698 2206
p 2 2 900 18 9328 1567
p 2 135 785 0 27976 2879
p 2 36 874 10 12617 2023
p 2 248 671 1 25135 3023
p 2 91 828 1 14490 2405
p 2 1 915 4 10085 1834
p 2 431 489 0 27519 3521
p 2 0 900 20 8728 1616
p 2 428 486 6 23535 3332
p 2 290 623 7 25127 3277
p 2 4 830 86 5725 1547
p 2 315 592 13 25053 3285
i 2 920 0 0 23925 3784
p 2 400 503 17 23838 3388
p 2 0 874 46 5656 1365
p 2 9 898 13 9418 1649
p 2 396 524 0 23474 3482
p 2 40 867 13 10248 1992
p 2 133 787 0 23490 2986
p 2 55 865 0 13867 2364
p 2 2 888 30 7240 1610
p 2 77 843 0 24422 2754
p 2 41 854 25 13289 2285
p 2 255 665 0 32004 3220
p 2 108 785 27 16873 2283
p 2 0 857 63 7221 1298
p 2 358 562 0 32702 3268
p 2 235 683 2 21631 2519
p 2 311 609 0 35254 3039
p 2 309 611 0 35384 2873
p 2 0 838 82 7887 1156
p 2 31 885 4 19626 1889
p 2 0 893 27 13771 1333
p 2 1 880 39 12496 1313
p 2 0 884 36 13625 1236
p 2 0 883 37 10179 1237
p 2 1 909 10 17100 1432
p 2 0 910 10 16801 1408
p 2 7 905 8 18902 1488
p 2 5 914 1 11925 1578
p 2 0 887 33 9513 1284
p 2 0 918 2 14237 1416
p 2 0 901 19 8852 1224
p 2 3 904 13 11918 1273
p 2 0 882 38 15250 1263
p 2 0 904 16 9653 1207
p 2 3 837 80 14351 1199
p 2 0 908 12 11215 1215
p 2 3 873 44 15235 1313
p 2 0 871 49 6972 1146
p 2 0 863 57 10980 1186
p 2 0 881 39 9573 1198
p 2 0 835 85 9371 1131
p 2 2 893 25 15213 1293
p 2 0 907 13 13000 1295
p 2 0 918 2 14024 1492
p 2 139 776 5 19479 2221
p 2 39 878 3 20370 2110
p 2 163 755 2 19535 2449
p 2 171 749 0 22282 2569
p 2 0 912 8 9301 1373
p 2 163 757 0 17009 2437
p 2 78 834 8 12694 2121
p 2 73 847 0 17002 2373
p 2 200 720 0 16827 2576
p 2 0 920 0 8356 1777
p 2 204 715 1 13214 2394
p 2 30 889 1 10780 2138
p 2 213 707 0 15450 2557
p 2 242 678 0 13778 2674
p 2 0 920 0 8801 1857
p 2 31 889 0 9719 2182
p 2 0 914 6 7501 1897
p 2 9 911 0 10108 2138
p 2 89 831 0 10512 2353
p 2 0 920 0 6805 2078
p 2 27 893 0 9426 2128
p 2 1 918 1 7087 1977
p 2 5 914 1 7263 1937
p 2 5 915 0 8868 2113
p 2 0 920 0 6058 2017
p 2 0 919 1 5483 2043
p 2 0 919 1 5496 2008
p 2 0 920 0 5532 1947
p 2 12 907 1 6613 1919
p 2 0 916 4 4007 1627
i 2 920 0 0 37596 4246
p 2 0 916 4 13925 1379
