# XviD 2pass stat file (core version 1.4.-127)
# Please do not modify this file

i 2 920 0 0 29544 3695
p 2 0 897 23 10656 1213
p 2 0 873 47 11237 1186
p 2 0 875 45 13762 1275
p 2 0 887 33 14417 1341
p 2 0 883 37 12321 1270
p 2 1 885 34 13761 1324
p 2 0 867 53 15202 1303
p 2 0 875 45 12889 1324
p 2 0 883 37 12770 1349
p 2 0 887 33 12566 1322
p 2 0 884 36 12128 1309
p 2 0 879 41 14702 1316
p 2 0 887 33 12101 1330
p 2 0 882 38 11417 1277
p 2 0 886 34 12797 1304
p 2 1 894 25 10911 1308
p 2 0 875 45 14528 1292
p 2 0 880 40 11623 1307
p 2 0 889 31 11072 1310
p 2 0 881 39 12544 1332
p 2 1 878 41 10241 1289
p 2 0 881 39 13974 1291
p 2 0 871 49 10894 1275
p 2 0 877 43 11070 1292
p 2 0 859 61 11899 1282
p 2 0 872 48 9722 1278
p 2 0 879 41 12978 1256
p 2 0 891 29 9540 1254
p 2 0 879 41 10255 1261
p 2 0 895 25 11465 1298
p 2 0 850 70 9275 1252
p 2 0 875 45 12281 1262
p 2 2 872 46 10472 1291
p 2 0 882 38 9457 1295
p 2 0 863 57 10447 1271
p 2 0 872 48 8354 1260
p 2 0 867 53 11276 1265
p 2 0 870 50 8682 1271
p 2 1 849 70 8223 1257
p 2 0 882 38 9132 1280
p 2 1 848 71 7428 1260
p 2 0 872 48 9513 1246
p 2 3 865 52 7435 1289
p 2 0 878 42 7183 1290
p 2 0 862 58 7548 1256
p 2 0 867 53 6240 1261
p 2 0 853 67 7836 1224
p 2 13 859 48 7049 1364
p 2 14 864 42 7544 1450
p 2 3 892 25 7844 1448
p 2 143 733 44 9112 1938
p 2 20 862 38 8968 1559
p 2 145 729 46 9942 1969
p 2 113 762 45 9829 1885
p 2 44 844 32 8280 1698
p 2 144 746 30 10822 1974
p 2 16 867 37 9647 1645
p 2 148 734 38 10903 1976
p 2 99 769 52 9574 1811
p 2 32 849 39 9700 1668
p 2 141 740 39 10657 1985
p 2 6 854 60 7490 1416
p 2 131 760 29 10923 1970
p 2 44 812 64 9848 1721
p 2 92 790 38 8133 1755
