# XviD 2pass stat file (core version 1.4.-127)
# Please do not modify this file

i 2 920 0 0 32182 3816
p 2 0 890 30 17121 1369
p 2 0 878 42 15414 1310
p 2 0 854 66 15102 1313
p 2 0 887 33 18259 1376
p 2 0 877 43 15161 1347
p 2 0 834 86 14766 1267
p 2 0 836 84 14764 1289
p 2 0 886 34 13977 1344
p 2 0 875 45 16991 1381
p 2 0 889 31 14801 1388
p 2 0 883 37 14287 1342
p 2 0 896 24 15229 1382
p 2 0 887 33 13320 1330
p 2 0 891 29 17088 1356
p 2 0 883 37 13708 1321
p 2 0 872 48 13425 1300
p 2 0 883 37 14631 1337
p 2 0 877 43 12571 1294
p 2 0 865 55 15767 1336
p 2 0 868 52 13264 1325
p 2 0 870 50 12632 1304
p 2 0 875 45 13995 1319
p 2 0 869 51 11806 1267
p 2 0 881 39 15508 1321
p 2 0 873 47 11748 1239
p 2 0 888 32 12351 1307
p 2 0 851 69 12595 1250
p 2 0 878 42 12016 1255
p 2 0 857 63 14649 1261
p 2 1 881 38 13002 1329
p 2 1 872 47 12615 1282
p 2 0 870 50 12288 1299
p 2 1 858 61 11788 1307
p 2 0 884 36 13170 1314
p 2 1 863 56 12077 1306
p 2 0 897 23 11937 1329
p 2 0 850 70 11478 1292
p 2 0 891 29 10476 1325
p 2 0 830 90 12169 1234
p 2 0 870 50 10234 1274
p 2 0 822 98 10650 1227
p 2 0 881 39 10793 1294
p 2 1 824 95 9607 1222
p 2 0 843 77 10751 1223
p 2 0 812 108 9407 1188
p 2 30 838 52 10558 1445
p 2 2 888 30 11028 1472
p 2 73 830 17 13223 1889
p 2 5 880 35 12576 1669
p 2 159 732 29 13287 2086
p 2 127 746 47 13923 2018
p 2 38 854 28 13344 1857
p 2 142 749 29 14947 2061
p 2 16 881 23 12984 1711
p 2 168 733 19 15859 2216
p 2 123 775 22 14952 2017
p 2 54 821 45 12238 1775
p 2 129 766 25 14980 2033
p 2 0 887 33 10886 1484
p 2 147 742 31 16577 2086
p 2 108 782 30 14918 1953
p 2 18 866 36 11787 1622
p 2 115 778 27 15160 2004
p 2 0 888 32 10803 1426
p 2 121 780 19 15607 2073
p 2 101 797 22 16011 1963
p 2 88 825 7 14556 1966
p 2 133 771 16 16357 2108
p 2 5 901 14 12100 1632
p 2 122 774 24 17681 2059
p 2 96 817 7 15376 2037
p 2 99 812 9 15179 2015
p 2 114 803 3 16664 2099
p 2 4 913 3 12442 1570
p 2 205 714 1 31591 2914
p 2 0 908 12 13745 1477
p 2 42 876 2 25720 1981
p 2 12 904 4 26319 1855
p 2 0 904 16 12072 1370
p 2 1 907 12 20102 1629
p 2 0 905 15 11434 1321
p 2 0 856 64 9470 1239
p 2 6 900 14 15784 1473
p 2 0 867 53 15869 1338
p 2 0 874 46 10394 1237
p 2 0 855 65 10844 1199
p 2 0 877 43 16015 1414
p 2 0 898 22 16277 1416
p 2 0 875 45 9754 1224
p 2 0 866 54 11828 1239
p 2 0 890 30 17945 1499
p 2 0 870 50 10364 1226
p 2 0 869 51 10446 1226
p 2 0 868 52 13351 1254
p 2 0 902 18 17445 1525
p 2 0 890 30 11791 1311
p 2 6 898 16 13006 1508
i 2 920 0 0 27340 3897
p 2 529 391 0 22704 3250
i 2 920 0 0 24819 3618
i 2 920 0 0 20300 3461
p 2 678 242 0 17871 3665
p 2 725 195 0 14380 3703
p 2 114 806 0 10348 2605
p 2 644 276 0 10129 3588
p 2 313 607 0 9173 3181
p 2 75 845 0 7022 2277
p 2 64 856 0 6546 2307
p 2 0 910 10 4136 1874
p 2 0 919 1 4778 2081
p 2 1 917 2 5022 1995
i 2 920 0 0 33071 4084
i 2 920 0 0 44113 4571
p 2 57 863 0 39911 2137
p 2 53 867 0 29926 2100
p 2 41 879 0 24524 1900
p 2 39 881 0 38280 2279
p 2 7 912 1 21357 1730
p 2 10 908 2 35083 1929
p 2 11 908 1 23505 1800
p 2 5 913 2 25246 1825
p 2 19 901 0 33869 2053
p 2 5 915 0 18759 1778
p 2 4 915 1 31706 1831
p 2 17 903 0 24182 1873
p 2 2 918 0 22709 1832
p 2 15 904 1 31545 2000
p 2 12 907 1 22165 1822
p 2 5 914 1 29291 1753
p 2 19 900 1 22955 1837
p 2 9 910 1 20821 1721
p 2 16 904 0 29411 1970
p 2 9 911 0 20131 1806
p 2 3 915 2 26508 1785
p 2 16 901 3 21503 1827
p 2 6 912 2 20977 1734
p 2 8 910 2 25545 1879
p 2 4 916 0 19795 1761
p 2 3 914 3 21570 1661
p 2 11 909 0 21771 1816
p 2 6 914 0 21100 1767
p 2 8 912 0 23558 1853
p 2 5 915 0 19939 1758
p 2 3 916 1 19344 1623
p 2 3 917 0 21581 1757
p 2 4 916 0 20982 1718
p 2 3 917 0 22587 1746
p 2 7 913 0 18959 1764
p 2 10 902 8 16934 1544
p 2 21 899 0 21787 1863
p 2 5 915 0 21710 1855
p 2 11 909 0 17404 1716
p 2 5 915 0 16923 1749
p 2 1 889 30 11840 1318
p 2 20 898 2 19045 1847
p 2 12 908 0 19016 1853
i 2 920 0 0 11970 3075
p 2 0 918 2 7112 1577
p 2 0 904 16 4236 1399
p 2 0 911 9 7449 1453
p 2 0 901 19 3917 1300
p 2 7 877 36 7034 1462
p 2 0 884 36 4018 1279
p 2 0 893 27 3606 1240
p 2 2 899 19 5993 1401
p 2 0 896 24 3588 1297
p 2 0 918 2 9164 1661
p 2 0 912 8 5604 1610
p 2 0 920 0 7237 1703
p 2 2 913 5 9165 1721
p 2 0 916 4 5100 1652
p 2 20 898 2 8109 1744
p 2 10 906 4 5183 1627
p 2 1 893 26 4461 1422
p 2 23 890 7 8810 1703
p 2 3 908 9 5305 1421
p 2 27 891 2 9686 1806
p 2 19 892 9 6036 1518
p 2 0 913 7 5197 1415
p 2 29 870 21 10092 1736
p 2 24 894 2 8078 1620
p 2 27 879 14 12970 1777
p 2 24 889 7 9410 1571
p 2 0 912 8 7153 1413
p 2 27 893 0 16589 1898
p 2 17 897 6 9512 1548
p 2 18 897 5 16858 1804
p 2 0 908 12 7850 1419
p 2 0 908 12 7938 1373
p 2 5 905 10 15723 1718
p 2 0 911 9 6290 1346
p 2 5 908 7 14537 1675
p 2 0 890 30 7855 1322
p 2 0 901 19 7389 1325
p 2 2 913 5 16011 1719
p 2 0 903 17 7445 1374
p 2 7 913 0 16880 1790
p 2 0 895 25 6002 1373
p 2 0 916 4 7294 1399
p 2 5 912 3 16910 1783
p 2 0 904 16 5497 1358
p 2 5 895 20 15889 1686
p 2 0 903 17 8250 1380
p 2 0 903 17 7783 1328
p 2 5 891 24 15298 1650
p 2 0 912 8 7956 1334
p 2 6 872 42 14537 1600
p 2 0 915 5 5635 1359
p 2 0 896 24 7225 1326
p 2 6 909 5 15715 1724
p 2 0 901 19 6823 1322
p 2 7 895 18 14947 1626
p 2 0 899 21 6758 1321
p 2 0 911 9 7456 1343
p 2 7 899 14 15557 1687
p 2 0 912 8 8813 1425
i 2 920 0 0 33196 3858
p 2 29 888 3 16256 1844
p 2 1 906 13 10863 1377
p 2 332 587 1 35944 3380
p 2 59 858 3 13982 1944
p 2 353 567 0 40955 3614
p 2 29 891 0 14553 1834
p 2 2 884 34 10047 1471
p 2 135 782 3 39692 2915
p 2 44 872 4 17335 1902
p 2 241 678 1 36296 3221
p 2 108 807 5 18462 2287
p 2 10 894 16 9536 1542
p 2 298 622 0 39138 3376
p 2 26 878 16 14894 1868
p 2 140 776 4 34666 2817
p 2 48 867 5 15286 1945
p 2 0 914 6 11367 1566
