# XviD 2pass stat file (core version 1.4.-127)
# Please do not modify this file

i 2 920 0 0 32234 3807
p 2 0 884 36 17589 1407
p 2 0 883 37 15484 1331
p 2 0 892 28 15840 1408
p 2 0 874 46 17715 1389
p 2 0 881 39 16137 1395
p 2 0 876 44 14534 1386
p 2 0 892 28 15179 1383
p 2 0 866 54 14257 1348
p 2 0 879 41 17917 1429
p 2 0 891 29 14230 1384
p 2 0 889 31 14359 1378
p 2 0 889 31 15121 1387
p 2 0 890 30 13395 1365
p 2 0 878 42 16637 1395
p 2 0 866 54 14534 1366
p 2 0 864 56 13451 1336
p 2 0 882 38 14347 1340
p 2 0 878 42 12869 1329
p 2 0 872 48 16040 1340
p 2 0 867 53 13156 1299
p 2 0 893 27 13414 1367
p 2 0 866 54 13833 1352
p 2 0 861 59 12070 1306
p 2 0 886 34 15934 1362
p 2 0 869 51 11985 1279
p 2 0 869 51 12265 1277
p 2 0 853 67 12698 1275
p 2 0 869 51 12055 1283
p 2 0 871 49 14794 1286
p 2 1 877 42 13209 1332
p 2 0 847 73 12936 1326
p 2 0 875 45 12567 1341
p 2 0 848 72 11972 1311
p 2 0 890 30 13266 1355
p 2 1 857 62 11922 1331
p 2 0 897 23 12119 1371
p 2 0 865 55 11857 1357
p 2 0 885 35 10734 1367
p 2 0 870 50 12375 1336
p 2 1 896 23 10486 1353
p 2 1 870 49 10891 1330
p 2 0 888 32 10948 1330
p 2 1 868 51 10102 1361
p 2 0 886 34 11202 1352
p 2 0 863 57 9625 1324
p 2 25 861 34 10616 1494
p 2 2 878 40 10982 1491
p 2 63 831 26 13441 1860
p 2 8 882 30 12507 1652
p 2 164 736 20 13357 2081
p 2 125 771 24 13952 2060
p 2 39 866 15 13192 1831
p 2 134 754 32 14681 2056
p 2 17 892 11 12850 1664
p 2 164 739 17 15890 2163
p 2 120 783 17 14861 1992
p 2 42 852 26 12253 1789
p 2 130 761 29 14870 2043
p 2 0 893 27 10910 1477
p 2 145 739 36 16529 2065
p 2 107 788 25 14878 1967
p 2 9 872 39 11852 1581
p 2 118 773 29 15421 2000
p 2 0 877 43 10956 1440
p 2 120 782 18 15508 2030
p 2 107 794 19 16046 1968
p 2 90 820 10 14589 1975
p 2 126 782 12 16396 2076
p 2 2 899 19 12155 1603
p 2 133 779 8 17724 2116
p 2 105 812 3 15352 2019
p 2 104 810 6 15170 2028
p 2 114 805 1 16664 2094
p 2 3 909 8 12152 1541
p 2 201 716 3 30965 2864
p 2 0 904 16 13674 1449
p 2 40 875 5 25992 1968
p 2 11 892 17 26196 1831
p 2 0 909 11 11995 1384
p 2 0 903 17 20269 1676
p 2 0 906 14 11387 1283
p 2 0 883 37 9849 1267
p 2 5 901 14 15918 1489
p 2 0 871 49 15811 1330
p 2 0 887 33 10734 1245
p 2 0 842 78 10818 1199
p 2 0 888 32 15599 1413
p 2 0 882 38 16213 1380
p 2 0 865 55 9776 1222
p 2 0 879 41 11859 1272
p 2 0 885 35 17787 1478
p 2 0 863 57 10151 1215
p 2 0 874 46 10554 1246
p 2 0 870 50 13385 1266
p 2 0 900 20 17546 1510
p 2 0 887 33 11734 1285
p 2 0 900 20 12830 1425
i 2 920 0 0 26938 3894
p 2 531 389 0 21875 3219
i 2 920 0 0 24282 3606
i 2 920 0 0 20294 3468
p 2 688 232 0 17065 3657
p 2 701 219 0 13790 3686
p 2 122 798 0 10465 2643
p 2 586 334 0 10513 3503
p 2 311 609 0 8561 3029
p 2 77 843 0 8007 2355
p 2 43 877 0 7010 2338
p 2 0 919 1 4766 2237
p 2 0 920 0 5630 2181
p 2 2 918 0 5938 2229
i 2 920 0 0 32993 4109
i 2 920 0 0 44338 4568
p 2 59 860 1 40001 2133
p 2 48 872 0 28467 2020
p 2 32 888 0 23979 1866
p 2 35 885 0 37970 2271
p 2 7 913 0 21352 1776
p 2 7 913 0 34819 1938
p 2 5 915 0 21409 1713
p 2 5 915 0 24801 1826
p 2 23 896 1 34883 2088
p 2 8 912 0 18569 1800
p 2 6 913 1 32449 1847
p 2 13 907 0 21851 1813
p 2 3 917 0 22425 1743
p 2 18 902 0 32184 2053
p 2 9 911 0 20580 1774
p 2 5 915 0 29046 1782
p 2 17 901 2 21833 1817
p 2 7 913 0 21276 1725
p 2 18 902 0 29142 1994
p 2 5 915 0 19961 1775
p 2 4 914 2 25989 1776
p 2 13 906 1 20381 1775
p 2 6 914 0 21218 1763
p 2 8 911 1 25442 1884
p 2 4 914 2 19624 1721
p 2 3 913 4 21734 1650
p 2 10 909 1 22378 1840
p 2 5 914 1 20487 1705
p 2 3 916 1 21634 1801
p 2 3 917 0 19959 1742
p 2 4 913 3 18066 1569
p 2 1 919 0 21049 1755
p 2 2 918 0 23364 1791
p 2 3 917 0 20891 1737
p 2 8 912 0 19198 1788
p 2 10 902 8 15720 1397
p 2 14 906 0 23334 1857
p 2 10 910 0 20709 1865
p 2 12 908 0 17134 1690
p 2 5 915 0 16124 1676
p 2 2 911 7 13437 1383
p 2 20 900 0 19103 1886
p 2 3 917 0 18975 1820
i 2 920 0 0 11441 3104
p 2 0 920 0 7260 1673
p 2 0 886 34 3485 1316
p 2 0 893 27 7296 1434
p 2 0 890 30 4564 1331
p 2 7 892 21 6437 1428
p 2 0 891 29 4441 1313
p 2 0 886 34 3607 1239
p 2 0 891 29 6055 1396
p 2 0 885 35 3245 1285
p 2 0 916 4 8563 1590
p 2 0 899 21 5142 1521
p 2 0 920 0 5712 1586
p 2 3 917 0 9074 1684
p 2 0 911 9 3282 1443
p 2 22 877 21 7482 1692
p 2 11 901 8 4805 1590
p 2 1 882 37 4066 1373
p 2 23 884 13 8210 1639
p 2 14 877 29 4715 1377
p 2 27 889 4 8906 1697
p 2 21 854 45 5082 1413
p 2 0 911 9 4715 1391
p 2 27 876 17 10082 1699
p 2 19 893 8 7272 1501
p 2 28 873 19 12403 1726
p 2 26 887 7 9118 1538
p 2 0 907 13 7054 1378
p 2 27 890 3 16035 1862
p 2 17 895 8 9438 1503
p 2 20 893 7 16422 1815
p 2 0 902 18 7475 1362
p 2 0 902 18 7458 1280
p 2 7 894 19 15446 1697
p 2 0 886 34 5753 1255
p 2 5 887 28 14438 1589
p 2 0 882 38 7302 1251
p 2 0 877 43 6845 1250
p 2 3 906 11 15446 1651
p 2 0 871 49 7309 1267
