# XviD 2pass stat file (core version 1.4.-127)
# Please do not modify this file

i 2 920 0 0 32224 3824
p 2 0 894 26 17351 1408
p 2 0 877 43 15465 1340
p 2 0 879 41 15193 1378
p 2 0 905 15 18148 1399
p 2 0 874 46 15005 1306
p 2 0 890 30 15006 1347
p 2 0 876 44 14870 1332
p 2 0 897 23 14082 1377
p 2 0 876 44 16871 1342
p 2 0 895 25 14819 1365
p 2 0 893 27 14322 1358
p 2 0 887 33 15030 1362
p 2 0 884 36 13292 1319
p 2 0 892 28 17068 1368
p 2 0 895 25 13861 1345
p 2 0 881 39 13596 1336
p 2 0 856 64 14466 1296
p 2 0 891 29 12483 1316
p 2 0 865 55 15797 1307
p 2 0 894 26 13383 1328
p 2 0 863 57 12688 1292
p 2 0 871 49 14199 1314
p 2 0 853 67 11629 1237
p 2 0 872 48 15369 1300
p 2 0 864 56 11828 1261
p 2 0 852 68 12255 1246
p 2 0 842 78 12644 1254
p 2 0 870 50 11940 1235
p 2 0 859 61 14536 1244
p 2 0 883 37 13004 1288
p 2 0 883 37 12786 1333
p 2 0 883 37 12403 1330
p 2 1 856 63 11951 1324
p 2 0 906 14 13383 1351
p 2 1 867 52 11820 1316
p 2 0 899 21 12043 1366
p 2 0 873 47 11485 1342
p 2 0 878 42 10471 1329
p 2 0 845 75 12332 1290
p 2 0 881 39 10241 1284
p 2 1 848 71 10604 1262
p 2 0 888 32 10886 1318
p 2 2 871 47 9989 1336
p 2 0 896 24 10947 1323
p 2 0 867 53 9578 1302
p 2 26 863 31 10470 1463
p 2 3 874 43 10979 1442
p 2 64 827 29 13253 1846
p 2 11 877 32 12511 1693
p 2 160 741 19 13491 2116
p 2 120 762 38 13517 1968
p 2 42 856 22 13517 1861
p 2 141 755 24 14538 2112
p 2 12 892 16 11982 1637
p 2 159 729 32 15648 2141
p 2 123 768 29 14869 2023
p 2 39 852 29 12186 1768
p 2 125 768 27 15637 2035
p 2 0 890 30 11612 1565
p 2 150 748 22 15464 2089
p 2 109 781 30 14746 1976
p 2 13 878 29 12747 1714
p 2 113 789 18 14971 1997
p 2 1 892 27 11897 1497
p 2 117 796 7 15966 2062
p 2 99 800 21 14673 1917
p 2 93 820 7 14699 1971
p 2 127 778 15 16454 2115
p 2 0 907 13 10779 1540
p 2 120 793 7 17617 2100
p 2 102 814 4 15194 2023
p 2 97 822 1 15060 2031
p 2 114 805 1 16659 2109
p 2 3 913 4 12497 1609
p 2 199 719 2 31005 2843
p 2 0 905 15 13984 1446
p 2 40 878 2 25716 1943
p 2 17 896 7 26037 1873
p 2 0 897 23 12075 1369
p 2 7 897 16 20155 1674
p 2 0 910 10 11656 1328
p 2 0 878 42 9951 1272
p 2 9 899 12 16061 1520
p 2 0 900 20 16147 1385
p 2 0 900 20 10590 1273
p 2 0 873 47 11105 1233
p 2 0 886 34 15907 1428
p 2 0 896 24 16126 1399
p 2 0 876 44 10143 1239
p 2 0 886 34 11835 1266
p 2 0 898 22 17875 1466
p 2 0 882 38 10274 1249
p 2 0 887 33 10495 1252
p 2 0 878 42 13493 1282
p 2 0 901 19 17535 1538
p 2 0 903 17 11990 1327
p 2 2 915 3 12801 1471
i 2 920 0 0 27178 3916
p 2 518 402 0 22174 3206
i 2 920 0 0 24959 3621
i 2 920 0 0 20603 3475
p 2 673 247 0 17302 3617
p 2 710 210 0 13640 3660
p 2 108 812 0 10635 2631
p 2 631 289 0 10032 3577
p 2 299 621 0 8577 3024
p 2 61 859 0 8204 2438
p 2 51 869 0 6564 2303
p 2 0 915 5 4718 2117
p 2 1 919 0 5710 2265
p 2 0 920 0 5644 2148
i 2 920 0 0 33216 4121
i 2 920 0 0 44843 4584
p 2 58 861 1 40012 2133
p 2 55 865 0 28752 2035
p 2 43 877 0 24113 1918
p 2 32 888 0 38029 2242
p 2 11 909 0 18271 1727
p 2 7 913 0 35557 1993
p 2 8 911 1 21656 1738
p 2 6 913 1 25044 1825
p 2 16 903 1 35173 2083
p 2 8 912 0 18279 1778
p 2 5 915 0 32375 1891
p 2 13 907 0 23625 1834
p 2 2 918 0 22590 1752
p 2 16 904 0 32076 2062
p 2 10 910 0 21241 1794
p 2 6 913 1 29201 1763
p 2 23 897 0 24395 1897
p 2 5 915 0 21319 1708
p 2 17 903 0 28115 1934
p 2 6 914 0 20869 1772
p 2 4 916 0 25623 1765
p 2 15 905 0 21750 1800
p 2 5 915 0 21349 1761
p 2 11 908 1 25222 1882
p 2 6 912 2 20630 1738
p 2 4 915 1 21760 1677
p 2 10 910 0 22276 1805
p 2 3 914 3 21205 1752
p 2 6 914 0 21790 1816
p 2 3 916 1 20527 1743
p 2 3 914 3 18163 1523
p 2 6 914 0 22540 1777
p 2 5 915 0 21477 1744
p 2 2 918 0 21028 1702
p 2 7 913 0 20332 1789
p 2 10 910 0 16916 1468
p 2 19 901 0 22043 1834
p 2 5 915 0 22206 1850
p 2 10 910 0 17614 1675
p 2 5 915 0 17061 1659
p 2 2 881 37 11565 1370
p 2 18 902 0 18297 1802
p 2 2 918 0 18757 1798
i 2 920 0 0 11601 3100
p 2 0 918 2 7042 1681
p 2 0 900 20 3931 1361
p 2 0 896 24 7530 1446
p 2 0 892 28 4542 1352
p 2 6 885 29 6589 1453
p 2 0 896 24 4544 1331
p 2 0 892 28 3832 1273
p 2 2 904 14 6247 1460
p 2 0 882 38 3219 1265
p 2 0 914 6 8726 1627
p 2 0 908 12 5296 1505
p 2 0 919 1 5527 1602
p 2 3 912 5 8784 1689
p 2 0 911 9 3864 1432
p 2 26 887 7 8148 1758
p 2 14 900 6 5283 1607
p 2 0 896 24 4260 1428
p 2 17 886 17 8485 1659
p 2 9 890 21 5360 1434
p 2 25 884 11 8928 1740
p 2 19 884 17 5671 1470
p 2 0 909 11 4614 1355
p 2 28 872 20 10216 1706
p 2 20 893 7 7540 1514
p 2 26 883 11 12948 1797
p 2 23 894 3 9478 1549
p 2 0 910 10 7266 1366
p 2 26 892 2 16204 1869
p 2 15 897 8 10046 1537
p 2 19 889 12 16899 1816
p 2 0 917 3 7937 1419
p 2 0 907 13 7976 1366
p 2 6 903 11 15810 1731
p 2 0 897 23 6113 1315
p 2 5 889 26 14728 1633
p 2 0 906 14 7979 1357
p 2 0 902 18 7228 1299
p 2 5 915 0 15833 1732
p 2 0 899 21 7586 1359
p 2 6 910 4 16542 1745
p 2 0 898 22 6006 1349
p 2 0 919 1 7174 1418
p 2 4 915 1 16590 1764
p 2 0 908 12 5455 1372
p 2 6 891 23 15758 1696
p 2 0 899 21 8180 1361
p 2 0 900 20 7746 1320
p 2 5 907 8 15268 1683
p 2 0 909 11 7870 1353
p 2 5 889 26 14702 1637
p 2 0 911 9 5146 1300
p 2 0 893 27 6931 1278
p 2 3 897 20 15254 1637
p 2 0 889 31 6661 1281
p 2 6 894 20 14847 1584
p 2 0 895 25 6475 1286
p 2 0 888 32 7532 1296
p 2 6 884 30 15404 1674
p 2 0 903 17 9025 1415
i 2 920 0 0 33160 3858
p 2 27 892 1 16351 1824
p 2 0 915 5 11374 1419
p 2 341 578 1 35890 3405
p 2 58 861 1 14481 1910
p 2 348 572 0 41179 3583
p 2 28 891 1 17717 1906
p 2 2 908 10 11201 1459
p 2 124 796 0 39622 2835
p 2 38 881 1 17092 1900
p 2 225 694 1 36351 3182
p 2 99 820 1 18715 2272
p 2 9 891 20 9543 1481
p 2 303 616 1 39100 3402
p 2 29 881 10 14297 1905
p 2 138 781 1 34725 2843
p 2 44 872 4 15648 2002
p 2 1 914 5 11621 1566
p 2 232 687 1 35954 3227
p 2 59 858 3 15812 2046
p 2 265 655 0 41045 3389
p 2 70 849 1 17431 2073
p 2 2 903 15 11189 1455
p 2 100 814 6 38936 2796
p 2 23 896 1 16624 1820
p 2 264 656 0 37476 3293
p 2 55 864 1 15858 2144
p 2 13 900 7 9966 1513
p 2 326 594 0 38189 3417
p 2 29 878 13 14922 1909
p 2 97 823 0 33091 2655
p 2 80 835 5 18080 2079
p 2 0 905 15 10138 1413
p 2 259 660 1 35984 3304
p 2 79 837 4 15993 2087
p 2 321 597 2 42096 3564
p 2 66 853 1 17964 2110
p 2 5 885 30 9087 1386
p 2 143 775 2 39263 2883
p 2 14 905 1 14695 1755
p 2 261 658 1 36480 3296
p 2 42 876 2 14889 2107
p 2 9 860 51 6815 1395
i 2 920 0 0 31437 3927
p 2 56 855 9 13815 1776
p 2 166 748 6 33384 2807
p 2 37 876 7 14115 1856
p 2 0 884 36 7469 1318
p 2 309 611 0 35963 3403
p 2 36 878 6 14499 1948
p 2 335 582 3 41683 3602
p 2 50 866 4 16098 2013
p 2 5 889 26 10243 1471
p 2 175 744 1 38553 2955
p 2 35 883 2 14958 1822
p 2 230 690 0 36948 3323
p 2 21 897 2 14571 2063
p 2 10 905 5 10152 1543
p 2 351 567 2 36742 3493
p 2 31 887 2 13952 1911
