# XviD 2pass stat file (core version 1.4.-127)
# Please do not modify this file

i 2 920 0 0 34038 3829
p 2 0 913 7 19585 1496
p 2 0 905 15 17853 1444
p 2 0 902 18 17678 1473
p 2 0 913 7 20672 1478
p 2 0 910 10 17381 1441
p 2 0 905 15 17186 1463
p 2 0 902 18 17255 1436
p 2 0 888 32 16061 1431
p 2 0 905 15 19181 1461
p 2 0 896 24 17111 1446
p 2 0 905 15 16418 1446
p 2 0 903 17 16504 1418
p 2 0 901 19 15473 1438
p 2 0 899 21 18378 1413
p 2 0 895 25 16934 1457
p 2 0 901 19 15706 1410
p 2 0 898 22 16584 1455
p 2 0 902 18 14767 1409
p 2 0 897 23 18331 1454
p 2 0 894 26 14965 1392
p 2 0 896 24 15597 1435
p 2 0 904 16 15962 1452
p 2 0 904 16 13880 1432
p 2 0 897 23 17256 1407
p 2 0 912 8 14241 1418
p 2 0 905 15 14399 1386
p 2 0 897 23 15412 1433
p 2 0 900 20 13752 1379
p 2 0 906 14 16860 1450
p 2 0 902 18 14615 1407
p 2 0 909 11 14577 1477
p 2 0 908 12 13947 1410
p 2 1 904 15 13891 1459
p 2 0 916 4 15209 1433
p 2 1 889 30 13791 1440
p 2 0 912 8 13098 1407
p 2 0 905 15 13726 1435
p 2 0 908 12 11952 1441
p 2 0 895 25 13716 1423
p 2 0 907 13 12148 1441
p 2 1 903 16 12276 1447
p 2 0 912 8 11510 1418
p 2 2 898 20 11610 1462
p 2 0 910 10 12713 1449
p 2 0 909 11 11066 1434
p 2 21 890 9 12255 1587
p 2 3 907 10 12460 1576
p 2 72 832 16 14244 1915
p 2 19 890 11 14254 1718
p 2 159 756 5 14955 2166
p 2 128 785 7 15584 2103
p 2 26 889 5 13850 1813
p 2 144 767 9 15783 2154
p 2 16 895 9 13461 1724
p 2 161 746 13 18095 2178
p 2 125 780 15 16151 2045
p 2 44 859 17 13676 1798
p 2 129 780 11 16334 2082
p 2 0 902 18 13129 1566
p 2 151 755 14 16777 2096
p 2 108 799 13 17574 1992
p 2 15 894 11 14446 1731
p 2 122 783 15 16088 2017
p 2 0 905 15 12646 1507
p 2 124 786 10 16965 2088
p 2 111 796 13 16071 1982
p 2 86 827 7 16996 1966
p 2 133 779 8 17962 2133
p 2 3 906 11 12457 1648
p 2 133 780 7 18681 2122
p 2 105 813 2 16482 1992
p 2 100 814 6 16337 2028
p 2 116 803 1 19073 2111
p 2 3 914 3 14344 1589
p 2 220 699 1 33344 2874
p 2 0 916 4 17060 1556
p 2 42 875 3 28241 1991
p 2 16 903 1 28272 1869
p 2 0 915 5 15195 1473
p 2 6 912 2 22807 1736
p 2 0 913 7 14713 1457
p 2 0 909 11 12261 1362
p 2 3 912 5 18232 1551
p 2 0 910 10 18183 1444
p 2 0 908 12 14300 1405
p 2 0 915 5 14091 1377
p 2 0 915 5 18213 1517
p 2 0 911 9 18001 1436
p 2 0 911 9 12832 1385
p 2 0 914 6 13811 1339
p 2 0 907 13 21228 1590
p 2 0 910 10 13092 1369
p 2 0 910 10 13095 1390
p 2 0 911 9 15344 1374
p 2 0 913 7 19639 1589
p 2 0 912 8 13962 1389
p 2 0 919 1 14818 1493
i 2 920 0 0 28335 3893
p 2 523 397 0 23345 3182
i 2 920 0 0 26703 3640
i 2 920 0 0 22267 3485
p 2 695 225 0 17929 3607
p 2 721 199 0 14082 3657
p 2 111 809 0 10818 2612
p 2 615 305 0 9686 3469
p 2 329 586 5 6526 2864
p 2 33 807 80 4471 1853
p 2 1 830 89 3697 1606
p 2 0 757 163 2410 1248
p 2 0 879 41 4080 1616
p 2 0 912 8 5113 1669
i 2 920 0 0 35274 4132
i 2 920 0 0 46371 4614
